starttime	seconds	ctime	dtime	ttime	wait
Fri Oct 13 20:18:11 2023	1697253491	0	817	817	787
Fri Oct 13 20:18:14 2023	1697253494	0	817	817	519
Fri Oct 13 20:18:14 2023	1697253494	0	817	817	519
Fri Oct 13 20:18:09 2023	1697253489	0	818	818	720
Fri Oct 13 20:18:14 2023	1697253494	6	812	818	503
Fri Oct 13 20:18:14 2023	1697253494	0	818	818	627
Fri Oct 13 20:18:08 2023	1697253488	0	819	819	595
Fri Oct 13 20:18:14 2023	1697253494	0	819	819	634
Fri Oct 13 20:18:14 2023	1697253494	0	819	819	627
Fri Oct 13 20:18:14 2023	1697253494	0	819	819	606
Fri Oct 13 20:18:14 2023	1697253494	0	819	819	606
Fri Oct 13 20:18:11 2023	1697253491	1	818	819	799
Fri Oct 13 20:18:14 2023	1697253494	0	819	819	627
Fri Oct 13 20:18:11 2023	1697253491	0	819	819	438
Fri Oct 13 20:18:14 2023	1697253494	0	820	820	604
Fri Oct 13 20:18:14 2023	1697253494	0	820	820	641
Fri Oct 13 20:18:14 2023	1697253494	0	820	820	594
Fri Oct 13 20:18:17 2023	1697253497	1	820	820	810
Fri Oct 13 20:18:17 2023	1697253497	1	821	821	697
Fri Oct 13 20:18:14 2023	1697253494	0	821	821	646
Fri Oct 13 20:18:09 2023	1697253489	3	819	822	611
Fri Oct 13 20:18:14 2023	1697253494	1	821	822	493
Fri Oct 13 20:18:15 2023	1697253495	0	822	822	341
Fri Oct 13 20:18:14 2023	1697253494	0	822	822	588
Fri Oct 13 20:18:14 2023	1697253494	0	822	822	610
Fri Oct 13 20:18:14 2023	1697253494	0	822	822	485
Fri Oct 13 20:18:05 2023	1697253485	0	823	823	531
Fri Oct 13 20:18:17 2023	1697253497	1	822	823	809
Fri Oct 13 20:18:14 2023	1697253494	0	823	823	635
Fri Oct 13 20:18:17 2023	1697253497	0	823	823	783
Fri Oct 13 20:18:13 2023	1697253493	0	824	824	540
Fri Oct 13 20:18:09 2023	1697253489	0	824	824	611
Fri Oct 13 20:18:08 2023	1697253488	0	825	825	593
Fri Oct 13 20:18:14 2023	1697253494	1	825	825	661
Fri Oct 13 20:18:14 2023	1697253494	0	825	825	652
Fri Oct 13 20:18:15 2023	1697253495	1	825	826	786
Fri Oct 13 20:18:11 2023	1697253491	1	826	826	450
Fri Oct 13 20:18:13 2023	1697253493	1	826	826	623
Fri Oct 13 20:18:14 2023	1697253494	8	819	827	647
Fri Oct 13 20:18:14 2023	1697253494	1	826	827	489
Fri Oct 13 20:18:17 2023	1697253497	0	828	828	757
Fri Oct 13 20:18:13 2023	1697253493	0	828	828	532
Fri Oct 13 20:18:07 2023	1697253487	0	828	828	784
Fri Oct 13 20:18:09 2023	1697253489	0	828	828	238
Fri Oct 13 20:18:11 2023	1697253491	0	828	828	814
Fri Oct 13 20:18:09 2023	1697253489	0	828	828	267
Fri Oct 13 20:18:14 2023	1697253494	1	828	829	557
Fri Oct 13 20:18:13 2023	1697253493	0	830	830	462
Fri Oct 13 20:18:14 2023	1697253494	1	829	830	620
Fri Oct 13 20:18:09 2023	1697253489	2	828	830	229
Fri Oct 13 20:18:09 2023	1697253489	0	830	830	263
Fri Oct 13 20:18:11 2023	1697253491	1	830	830	814
Fri Oct 13 20:18:14 2023	1697253494	0	830	830	667
Fri Oct 13 20:18:12 2023	1697253492	0	830	830	618
Fri Oct 13 20:18:09 2023	1697253489	0	830	830	593
Fri Oct 13 20:18:08 2023	1697253488	1	830	831	651
Fri Oct 13 20:18:08 2023	1697253488	1	830	831	528
Fri Oct 13 20:18:10 2023	1697253490	0	831	831	456
Fri Oct 13 20:18:11 2023	1697253491	2	830	831	510
Fri Oct 13 20:18:07 2023	1697253487	0	832	832	728
Fri Oct 13 20:18:06 2023	1697253486	0	832	832	730
Fri Oct 13 20:18:05 2023	1697253485	0	833	833	368
Fri Oct 13 20:18:14 2023	1697253494	0	833	833	662
Fri Oct 13 20:18:14 2023	1697253494	3	830	833	718
Fri Oct 13 20:18:14 2023	1697253494	0	833	833	720
Fri Oct 13 20:18:14 2023	1697253494	0	833	833	661
Fri Oct 13 20:18:11 2023	1697253491	1	833	834	717
Fri Oct 13 20:18:10 2023	1697253490	1	833	834	687
Fri Oct 13 20:18:05 2023	1697253485	0	834	834	512
Fri Oct 13 20:18:08 2023	1697253488	0	834	834	577
Fri Oct 13 20:18:13 2023	1697253493	0	834	834	596
Fri Oct 13 20:18:13 2023	1697253493	1	833	834	600
Fri Oct 13 20:18:11 2023	1697253491	4	830	834	812
Fri Oct 13 20:18:13 2023	1697253493	1	834	834	552
Fri Oct 13 20:18:13 2023	1697253493	1	834	834	540
Fri Oct 13 20:18:11 2023	1697253491	0	835	835	603
Fri Oct 13 20:18:13 2023	1697253493	0	835	835	507
Fri Oct 13 20:18:11 2023	1697253491	0	835	835	484
Fri Oct 13 20:18:17 2023	1697253497	1	834	835	823
Fri Oct 13 20:18:13 2023	1697253493	0	835	835	569
Fri Oct 13 20:18:14 2023	1697253494	0	836	836	757
Fri Oct 13 20:18:11 2023	1697253491	0	836	836	690
Fri Oct 13 20:18:14 2023	1697253494	0	836	836	724
Fri Oct 13 20:18:14 2023	1697253494	1	836	836	723
