starttime	seconds	ctime	dtime	ttime	wait
Fri Oct 13 20:17:27 2023	1697253447	1	1682	1683	1291
Fri Oct 13 20:17:35 2023	1697253455	0	1684	1684	1355
Fri Oct 13 20:17:24 2023	1697253444	1	1685	1687	1177
Fri Oct 13 20:17:24 2023	1697253444	1	1686	1687	962
Fri Oct 13 20:17:35 2023	1697253455	2	1687	1689	1369
Fri Oct 13 20:17:25 2023	1697253445	0	1706	1706	1159
Fri Oct 13 20:17:24 2023	1697253444	0	1726	1726	938
Fri Oct 13 20:17:25 2023	1697253445	2	1737	1739	1178
Fri Oct 13 20:17:24 2023	1697253444	0	1744	1744	1122
Fri Oct 13 20:17:24 2023	1697253444	1	1745	1746	1126
Fri Oct 13 20:17:25 2023	1697253445	1	1779	1780	1410
Fri Oct 13 20:17:24 2023	1697253444	0	1814	1814	1158
Fri Oct 13 20:17:24 2023	1697253444	0	1828	1828	947
Fri Oct 13 20:17:24 2023	1697253444	0	1831	1831	1227
Fri Oct 13 20:17:24 2023	1697253444	1	1836	1837	1234
Fri Oct 13 20:17:24 2023	1697253444	5	1842	1846	1286
Fri Oct 13 20:17:24 2023	1697253444	0	1850	1850	1280
Fri Oct 13 20:17:24 2023	1697253444	0	1851	1851	1283
Fri Oct 13 20:17:24 2023	1697253444	0	1868	1868	1286
Fri Oct 13 20:17:24 2023	1697253444	1	1882	1883	1284
Fri Oct 13 20:17:24 2023	1697253444	2	1906	1908	1319
Fri Oct 13 20:17:24 2023	1697253444	0	1915	1915	1322
Fri Oct 13 20:17:24 2023	1697253444	0	1918	1918	1339
Fri Oct 13 20:17:24 2023	1697253444	0	1932	1932	1338
Fri Oct 13 20:17:24 2023	1697253444	1	1935	1936	1371
Fri Oct 13 20:17:24 2023	1697253444	0	1951	1951	1452
Fri Oct 13 20:17:24 2023	1697253444	0	1978	1978	1383
Fri Oct 13 20:17:24 2023	1697253444	0	1979	1979	1388
Fri Oct 13 20:17:24 2023	1697253444	0	2005	2005	1400
Fri Oct 13 20:17:24 2023	1697253444	2	2017	2018	1417
Fri Oct 13 20:17:24 2023	1697253444	0	2049	2049	1558
Fri Oct 13 20:17:24 2023	1697253444	0	2053	2053	1446
Fri Oct 13 20:17:24 2023	1697253444	0	2068	2068	1721
Fri Oct 13 20:17:24 2023	1697253444	0	2070	2070	1641
Fri Oct 13 20:17:24 2023	1697253444	2	2073	2074	1642
Fri Oct 13 20:17:24 2023	1697253444	0	2074	2074	1706
Fri Oct 13 20:17:24 2023	1697253444	0	2076	2076	1686
Fri Oct 13 20:17:24 2023	1697253444	1	2080	2081	1682
Fri Oct 13 20:17:24 2023	1697253444	0	2093	2093	1380
